platform,url,title,author,ts,text_len,sentiment,m_Atomberg,m_Havells,m_Crompton,m_Orient,m_Usha,m_Bajaj,metric_rank_weight,engagement
google,https://www.amazon.in/Smart-Fan/s?k=Smart+Fan,Smart Fan,,,148,0.8176,0,0,0,0,0,0,0.75647079736603,0.75647079736603
google,https://orientelectric.com/collections/smart-ceiling-fans?srsltid=AfmBOoposHtVq6J_RuNjf2OKl18fS7-kpXRCWVsFrGNdwOgpiUxqDL1C,Buy Smart Ceiling Fans Online at Best Price,,,5000,0.9873,0,0,0,4,0,0,0.5532947556651122,0.5532947556651122
google,https://atomberg.com/atomberg-ceiling-fans/smart-fans?srsltid=AfmBOooX9IW_nUL4eUQ6ztR9lx_qu4e2k-MqH9R4DnojwsWHRawMa-qh,Buy Smart Fans Online At Amazing Prices Online In India,,,8,0.0,1,0,0,0,0,0,0.46084542061837025,0.46084542061837025
google,https://www.crompton.co.in/collections/ceiling-fans/smart-fans,Buy Smart Ceiling Fans at Best Prices in India,,,5000,0.9969,0,0,1,0,0,0,0.40659800924006667,0.40659800924006667
google,https://smartwaylighting.com/collections/smart-fan-chandeliers?srsltid=AfmBOop727UglTO3OBC_vUV9kiOfTKzytmwpj8sfwW5Jdo4K5nwLeIwf,Smart Fan Chandeliers,,,3529,0.9985,0,0,0,0,0,0,0.3703100622028965,0.3703100622028965
google,https://www.flipkart.com/orient-electric-1200mm-smart-premium-ceiling-fan-iot-remote-underlight-1200-mm-3-blade/p/itme5abe72bfc168,Orient Electric 1200mm Smart Premium Ceiling Fan with ...,,,4749,0.9979,0,0,0,7,0,1,0.3440101947801938,0.3440101947801938
google,https://dir.indiamart.com/impcat/smart-ceiling-fans.html,Smart Ceiling Fans - Remote controlled ...,,,4999,0.9975,0,0,0,0,0,0,0.32389053777082116,0.32389053777082116
google,https://okos.in/products/okos-fan-module-16a-wi-fi?srsltid=AfmBOopkeyUAMaU-e_b0Hyt-N0bhUAWFbm0QqpMxwS5TrbByDKkac_fu,Buy Smart Fan Module 10A - OKOS,,,4973,0.9996,0,0,0,0,0,0,0.30788864463904214,0.30788864463904214
google,https://www.croma.com/smart-devices/smart-home-devices/smart-fans/c/818?srsltid=AfmBOoq9Z4jCNsuzM2E-OxY0CjZtkZWmqPizGCzslpoN-pZCzJu_BGCq,Buy Smart Fans Online at Best Prices,,,161,0.6705,0,0,0,0,0,0,0.29478373494331395,0.29478373494331395
google,https://atomberg.com/atomberg-ceiling-fans?srsltid=AfmBOorHHeGmIzqcA5VxV4y1VzlBXGMdp09au3d7ofKAfQ8NA90MaKlG,Buy Premium BLDC Ceiling Fans At Best Prices Online In ...,,,8,0.0,1,0,0,0,0,0,0.28380372261682446,0.28380372261682446
